1,267.50%
2,683.25%
3,907.50%
4,1204.50%
5,1489.75%
6,1777.50%
7,2032.75%
8,2229.00%
9,2360.75%
10,2554.50%
11,2689.00%
12,2847.25%
13,2982.75%
14,3131.00%
15,3201.00%
16,3386.50%
17,3414.25%
18,3525.75%
19,3594.00%
20,3651.75%
21,3733.75%
22,3808.75%
23,3883.75%
24,3942.75%
25,3966.00%
26,4057.00%
27,4090.50%
28,4156.75%
29,4221.00%
30,4264.25%
31,4331.50%
32,4389.50%
33,4410.50%
34,4442.50%
35,4516.50%
36,4554.25%
37,4591.50%
38,4657.75%
39,4691.50%
40,4710.75%
41,4760.50%
42,4807.75%
43,4826.00%
44,4892.50%
45,4902.00%
46,4940.00%
47,4993.50%
48,5040.00%
49,5037.75%
50,5057.50%
51,5115.50%
52,5157.25%
53,5218.00%
54,5221.00%
55,5256.25%
56,5267.25%
57,5296.75%
58,5344.75%
59,5373.00%
60,5407.25%
61,5433.25%
62,5455.25%
63,5494.75%
64,5506.00%
65,5526.75%
66,5548.50%
67,5592.50%
68,5608.50%
69,5663.25%
70,5630.75%
71,5708.25%
72,5680.75%
73,5724.25%
74,5761.00%
75,5790.00%
76,5804.50%
77,5837.75%
78,5885.00%
79,5873.00%
80,5894.00%
81,5924.50%
82,5944.25%
83,5946.50%
84,5985.75%
85,6004.25%
86,6007.75%
87,6045.25%
88,6082.25%
89,6116.00%
90,6108.75%
91,6150.00%
92,6122.75%
93,6147.25%
94,6169.25%
95,6207.50%
96,6192.00%
97,6237.75%
98,6262.25%
99,6259.75%
100,6287.25%
101,6308.75%
102,6323.75%
103,6333.25%
104,6381.00%
105,6384.75%
106,6367.75%
107,6409.25%
108,6447.25%
109,6431.00%
110,6444.00%
111,6450.75%
112,6478.50%
113,6494.00%
114,6512.25%
115,6523.75%
116,6530.25%
117,6550.25%
118,6546.25%
119,6575.25%
120,6558.00%
121,6584.25%
122,6567.00%
123,6585.00%
124,6632.75%
125,6604.00%
126,6626.75%
127,6609.50%
128,6608.75%
129,6635.25%
130,6655.00%
131,6657.00%
132,6669.00%
133,6654.25%
134,6684.00%
135,6665.75%
136,6680.50%
137,6699.75%
138,6686.75%
139,6696.50%
140,6709.00%
141,6705.25%
142,6719.75%
143,6692.25%
144,6729.25%
145,6723.00%
146,6743.00%
147,6709.25%
148,6734.25%
149,6714.75%
150,6720.25%
