1,4.5617
2,4.2373
3,3.9966
4,3.8113
5,3.6213
6,3.4410
7,3.3036
8,3.1948
9,3.0987
10,3.0139
11,2.9508
12,2.8902
13,2.8340
14,2.7732
15,2.7116
16,2.6587
17,2.6160
18,2.5701
19,2.5313
20,2.4913
21,2.4601
22,2.4171
23,2.3951
24,2.3499
25,2.3149
26,2.3013
27,2.2707
28,2.2498
29,2.2205
30,2.1924
31,2.1766
32,2.1434
33,2.1311
34,2.1108
35,2.0977
36,2.0757
37,2.0529
38,2.0243
39,2.0184
40,1.9993
41,1.9832
42,1.9689
43,1.9515
44,1.9407
45,1.9212
46,1.9060
47,1.8806
48,1.8825
49,1.8587
50,1.8386
51,1.8344
52,1.8122
53,1.8034
54,1.7967
55,1.7765
56,1.7630
57,1.7512
58,1.7357
59,1.7272
60,1.7094
61,1.6971
62,1.6789
63,1.6734
64,1.6630
65,1.6530
66,1.6411
67,1.6368
68,1.6204
69,1.6143
70,1.6034
71,1.5938
72,1.5789
73,1.5689
74,1.5595
75,1.5541
76,1.5357
77,1.5418
78,1.5274
79,1.5150
80,1.5142
81,1.4932
82,1.4854
83,1.4812
84,1.4780
85,1.4622
86,1.4563
87,1.4431
88,1.4317
89,1.4247
90,1.4304
91,1.4106
92,1.4033
93,1.3960
94,1.3903
95,1.3797
96,1.3725
97,1.3704
98,1.3680
99,1.3589
100,1.3527
101,1.3407
102,1.3357
103,1.3347
104,1.3279
105,1.3282
106,1.3171
107,1.3079
108,1.3129
109,1.3022
110,1.2942
111,1.2946
112,1.2869
113,1.2853
114,1.2799
115,1.2752
116,1.2677
117,1.2640
118,1.2671
119,1.2580
120,1.2549
121,1.2523
122,1.2461
123,1.2377
124,1.2409
125,1.2387
126,1.2442
127,1.2278
128,1.2332
129,1.2277
130,1.2249
131,1.2283
132,1.2250
133,1.2187
134,1.2173
135,1.2178
136,1.2159
137,1.2115
138,1.2104
139,1.2077
140,1.2082
141,1.2087
142,1.2044
143,1.2055
144,1.2025
145,1.2055
146,1.2021
147,1.2065
148,1.2017
149,1.2064
150,1.2038
