1,91.25%
2,93.75%
3,168.50%
4,287.00%
5,435.25%
6,648.00%
7,807.50%
8,948.25%
9,1122.50%
10,1261.50%
11,1389.50%
12,1462.50%
13,1615.75%
14,1547.50%
15,1758.00%
16,1888.50%
17,1989.25%
18,2057.75%
19,2150.75%
20,2249.00%
21,2365.75%
22,2287.00%
23,2500.75%
24,2634.00%
25,2775.50%
26,2775.25%
27,2746.25%
28,2872.00%
29,2888.75%
30,3074.00%
31,3107.50%
32,3281.50%
33,2941.75%
34,3240.00%
35,3245.50%
36,3534.25%
37,3556.25%
38,3621.50%
39,3643.25%
40,3644.75%
41,3747.75%
42,3757.75%
43,3670.00%
44,3827.50%
45,3965.75%
46,4075.00%
47,3994.25%
48,4162.50%
49,4245.00%
50,4245.75%
51,4181.75%
52,4316.00%
53,4401.50%
54,4446.75%
55,4313.00%
56,4390.00%
57,4486.75%
58,4606.50%
59,4625.75%
60,4677.25%
61,4721.50%
62,4815.50%
63,4839.75%
64,4822.75%
65,4852.75%
66,4876.75%
67,4965.75%
68,5020.00%
69,4937.25%
70,5020.75%
71,5161.00%
72,5178.50%
73,5216.25%
74,5188.75%
75,5188.75%
76,5225.25%
77,5287.50%
78,5332.25%
79,5411.50%
80,5450.75%
81,5443.00%
82,5465.75%
83,5493.25%
84,5529.75%
85,5543.50%
86,5580.00%
87,5605.50%
88,5671.25%
89,5652.00%
90,5718.25%
91,5655.75%
92,5707.75%
93,5723.25%
94,5809.00%
95,5841.25%
96,5869.75%
97,5865.75%
98,5934.75%
99,5926.25%
100,5988.25%
101,5965.00%
102,5974.50%
103,6041.25%
104,6056.00%
105,6031.50%
106,6020.00%
107,6084.25%
108,6131.25%
109,6124.00%
110,6130.25%
111,6141.50%
112,6229.00%
113,6187.25%
114,6223.00%
115,6270.50%
116,6248.50%
117,6258.75%
118,6317.00%
119,6319.50%
120,6359.50%
121,6322.50%
122,6331.00%
123,6371.75%
124,6401.00%
125,6371.00%
126,6435.25%
127,6414.25%
128,6427.25%
129,6424.25%
130,6435.25%
131,6486.50%
132,6472.25%
133,6460.50%
134,6471.50%
135,6478.00%
136,6487.50%
137,6486.75%
138,6469.50%
139,6486.50%
140,6503.00%
141,6468.00%
142,6495.25%
143,6486.50%
144,6484.25%
145,6450.25%
146,6507.75%
147,6493.00%
148,6510.25%
149,6524.50%
150,6521.25%
